nacchoid	module	scity	sstate	simplepopsourcecode	popcat3	popcat5	popcat7	popcat8	popcat9	q1	q2	q14b	q14c	q15r	q16	q17a	q17ab	q17b	q17c	q17cd	q17d	q17e	q17f	q17g	q17h	q17i	q17j	q17k	q17l	q17m	q18	q19a	q19b	q19c	q20	q21	govcat	yearstenure	b_module	m1weight2	popcat2old	c1_lhd_name0	LHD_Org	Contact_Category	v008_Profile	FIPS_CY
AR012	module 2	Heber Springs	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	26068	12	2007		1295703.8		124302		294424	0		0			0	0	0	0	0	0	4				0		state	3.83					Cleburne County Health Unit	LHD	1	5023
AR013		Rison	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	city/county	9132	6	2008		285033.6		26382		116872	0		0			0	0	0	0	0	0	1	0	0	0	0		state						Cleveland County Health Unit	LHD	1	5025
AR014	module 3	Magnolia	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	25322	12	2007		1296090.9		39899		222521	0		0			0	0	0	0	0	0	3				0		state	0.33					Columbia County Health Unit	LHD	1	5027
AR015	module 1	Morrilton	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	20983	6	2008		877108.2		107400		85554			0			0	0	0	0	0	0	4				0		state	0.42	1	8.96	"<50,000"	Conway County Health Unit	Conway County Health Unit	LHD	1	5029
AR016	module 2	Jonesboro	AR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	90145	6	2008		3801242.9		271120		267339			0			0	0	0	0	0	0	4						state	6.83					Craighead County Health Unit	LHD	1	5031
AR017	module 3	Van Buren	AR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	58752	6	2008		1769996.2		118420		179720	0		0			0	0	0	0	0	0	3	0	0	0	0		state	2.08					Crawford County Health Unit	LHD	1	5033
AR019	module 2	Wynne	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	19888	1	2008		1007849.3		59096		280890			0			0	0	0	0	0	0	3				0		state	0					Cross County Health Unit	LHD	1	5037
AR020		Fordyce	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8582	6	2008		674262.3		17800		102739			0			0	0	0	0	0	0	1				0		state	3.83					Dallas County Health Unit	LHD	1	5039
AR075	module 3	Ozark	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	18767	6	2008		621187.7		15050		42206	0		0			0	0	0	0	0	0	4	0	0	0	0	0	state	1.08					Franklin County Health Unit	LHD	1	5047
AR024	module 1	Salem	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	11978	1	2008		372716.3		30200		54530			0			0	0	0	0	0	0	4						state	5.08	1	8.96	"<50,000"	Fulton County Health Unit	Fulton County Health Unit	LHD	1	5049
AR025	module 2	Hot Springs	AR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	city/county	95740	6	2008		3143179.8		85700		586987			0			0	0	0	0	0	0	4				0		state	7.42					Garland County Health Unit	LHD	1	5051
AR026		Sheridan	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	17764	6	2008		480309.5		39350		116082			0			0	0	0	0	0	0	3				0		state	4.08					Grant County Health Unit	LHD	1	5053
AR027	module 2	Paragould	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	40331	6	2008		1852369.4		73503		421123			0			0	0	0	0	0	0	3	0	0	0	0		state	3.33					Greene County Health Unit	LHD	1	5055
AR028		Hope	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	24640	1	2008		1935010.6		25240		576981	0		0			0	0	0	0	0	0	3				1	0.2	state	0.42					Hempstead County Health Unit	LHD	1	5057
AR029	module 2	Malvern	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	32070	12	2008		1276823.5		32940		273401			0			0	0	0	0	0	0	4	0	1500	0	1	6	state	4.08					Hot Spring County Health Unit	LHD	1	5059
AR030		Nashville	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	14737	6	2008		1178981.3		27191		285976	0		0			0	0	0	0	0	0	4						state	7.92					Howard County Health Unit	LHD	1	5061
AR031	module 1	Batesville	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	35577	6	2008		1780165.38		130488		248862	0		0			0	0	0	0	0	0	4				1		state	14.25	1	6.66	"<50,000"	Independence County Health Unit	Independence County Health Unit	LHD	1	5063
AR032	module 2	Melbourne	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13924	12	2007		635473.7		39293		187633			0			0	0	0	0	0	0	3				1	0.25	state						Izard County Health Unit	LHD	1	5065
AR033		Newport	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	17965	12	2007		762638.8		52800		188205			0			0	0	0	0	0	0	4				0		state	6.42					Jackson County Health Unit	LHD	1	5067
AR034	module 2	Pine Bluff	AR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	city/county	82055	1	2008		3233742.2		35920		559949	0		0			0	0	0	0	0	0	4						state						Jefferson County Health Unit	LHD	1	5069
AR035	module 2	Clarksville	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	25172	6	2008		1290684		61804		72910	0		0			0	0	0	0	0	0	1				0		state	8.67					Johnson County Health Unit	LHD	1	5071
AR036	module 3	Lewisville	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	city/county	8229	1	2008		391475.8		8350		91389			0			0	0	0	0	0	0	4	0	0	0	0		state	0.58					Lafayette County Health Unit	LHD	1	5073
AR037		Walnut Ridge	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	17591	6	2008		949643.7		60092		194430	0		0			0	0	0	0	0	0	1				1	18	state						Lawrence County Health Unit	LHD	1	5075
AR038	module 2	Marianna	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	12215	12	2007		479969.2		39933		115320	0		0			0	0	0	0	0	0	3						state	6					Lee County Health Unit	LHD	1	5077
AR039		Star City	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	15015	6	2008	"<$500,000"	259496.7		11220		139547			0			0	0	0	0	0	0	3	0	0	0	1	1	state	10.33					Lincoln County Health Unit	LHD	1	5079
AR040		Ashdown	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13677	12	2007		669955		14209		123805	0		0			0	0	0	0	0	0	4	0	3607	0	0		state	1.5					Little River County Health Unit	LHD	1	5081
AR043	module 3	Huntsville	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	15452	1	2008		471120.5		56900		105008			0			0	0	0	0	0	0	4						state	6.42					Madison County Health Unit	LHD	1	5087
AR044		Yellville	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	17777	12	2007		688293.5		131621		145219	0		0			0	0	0	0	0	0	4				0		state						Marion County Health Unit	LHD	1	5089
AR045		Texarkana	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	43836	1	2008		2138980.1		40026		459791	0		0			0	0	0	0	0	0	3	0	0	0	0		state	2.5					Miller County Health Unit	LHD	1	5091
AR046	module 2	Blytheville	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	48337	1	2008		2951786.6		199289		307574			0			0	0	0	0	0	0	3				0		state	1.67					Mississippi County Health Unit - Blytheville	LHD	1	5093
AR047		Brinkley	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	9588	6	2008		604534		24803		131723	0		0			0	0	0	0	0	0	4	0	0	0	0		state	6.67					Monroe County Health Unit	LHD	1	5095
AR048		Mt. Ida	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	9586	1	2008		405515.9		22626		173975			0			0	0	0	0	0	0	4						state	6.25					Montgomery County Health Unit	LHD	1	5097
AR049		Prescott	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	11010	1	2008		510236.8		20268		79373	0		0			0	0	0	0	0	0	4				0		state						Nevada County Health Unit	LHD	1	5099
AR050		Jasper	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8804	1	2008		245032.1		44138		49517	0		0			0	0	0	0	0	0	4	0	0	0	0		state	5.17					Newton County Health Unit	LHD	1	5101
AR051		Camden	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	27552	6	2008		1405496.5		24850		227377	0		0			0	0	0	0	0	0	3				0		state	6.92					Ouachita County Health Unit	LHD	1	5103
AR052	module 3	Perryville	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	10927	1	2008		184037.8		26578		58583			0			0	0	0	0	0	0	4				0		state	24					Perry County Health Unit	LHD	1	5105
AR053	module 1	West Helena	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	24645	1	2008	"<$500,000"	1832053.4		40315		312160	0		0			0	0	0	0	0	0	4	0	0	0	0		state	9.75	1	8.96	"<50,000"	Phillips County Health Unit	Phillips County Health Unit	LHD	1	5107
AR054		Murfreesboro	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	11567	12	2007		755114.1		22352		168086			0			0	0	0	0	0	0	3						state	2.08					Pike County Health Unit	LHD	1	5109
AR055		Harrisburg	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	25834	1	2008	"$500,000-$999,999"	1915342.5		179570		415382			0			0	0	0	0	0	0	4						state						Poinsett County Health Unit - Harrisburg	LHD	1	5111
AR056	module 3	Mena	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	20873	12	2007		1007181.5		19042		226066			0			0	0	0	0	0	0	3				0		state	2.25					Polk County Health Unit	LHD	1	5113
AR057		Russellville	AR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	city/county	58973	12	2007	"<$500,000"	2692712.3		165935		361193	0		0			0	0	0	0	0	0	4	0	0	0	0		state	3.92					Pope County Health Unit	LHD	1	5115
AR058	module 2	Des Arc	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	9476	12	2007		442637.7		16722		140260	0		0			0	0	0	0	0	0	4	0	0	0	0		state	18.92					Prairie County Health Unit	LHD	1	5117
AR059		Little Rock	AR	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"200,000-499,999"	city/county	200719	1	2008		8692751.5		170270		1034068			0			0	0	0	0	0	0		0	0	0	0	0	state						Pulaski Health Unit - Central Little Rock	LHD	1	5119
AR060		Pocahontas	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	18919	6	2008		719869.6		45848		186985			0			0	0	0	0	0	0	3	1000	1800	0	0		state	29.33					Randolph County Health Unit	LHD	1	5121
AR067		Forrest City	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	29743	6	2008		1648841.3		32523		233264	0		0			0	0	0	0	0	0	4	0	0	0	0		state	1.08					St. Francis County Health Unit - Forrest City	LHD	1	5123
AR061	module 3	Benton	AR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	96637	12	2007		2742136.3		82437		372699			0			0	0	0	0	0	0	4	0	0	0	0		state	0.83					Saline County Health Unit	LHD	1	5125
AR062		Waldron	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	"multi-county, district, region"	11635	12	2007	"$1,000,000-$4,999,999"	702571.9		49399		126206			0			0	0	0	0	0	0	4	0	0	0	1	1	state	7.08					Scott County Health Unit	LHD	1	5127
AR063	module 2	Marshall	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8268	1	2008		490589		85962		58584	0		0			0	0	0	0	0	0	4						state	7					Searcy County Health Unit	LHD	1	5129
AR064		Ft. Smith	AR	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	city/county	121354	1	2008		4865658.7		390872		455996			0			0	0	0	0	0	0	4						state	4.75					Sebastian County Health Unit	LHD	1	5131
AR065		DeQueen	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	16762	1	2008		1223891.3		27764		233168	0		0			0	0	0	0	0	0	4	0	0	0	0		state	0.17					Sevier County Health Unit	LHD	1	5133
AR066		Ash Flat	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	18259	1	2008		911350.4		43153		263953	0		0			0	0	0	0	0	0	3	-1	3700	-1	0		state	7.92					Sharp County Health Unit	LHD	1	5135
AR068		Mountain View	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	city/county	12048	6	2008		623209		23000		150514	0		0			0	0	0	0	0	0	2				0		state	32					Stone County Health Unit	LHD	1	5137
AR069	module 2	El Dorado	AR	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	city/county	44302	7	2008	"<$500,000"	1835748.1		35095		398355	0		0			0	0	0	0	0	0	1	0	0	0	0		state	24.5					Union County Health Unit	LHD	1	5139
AR070	module 3	Clinton	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	16921	1	2008		980516.9		70715		196580	300902		0			0	0	0	0	0	0	4						state	16.92					Van Buren County Health Unit	LHD	1	5141
AR071	module 2	Fayetteville	AR	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	197974	6	2008		6928911.9		467915		757263	0		0			0	0	0	0	0	0	1				1	0.5	state	2.33					Washington County Health Unit	LHD	1	5143
AR072	module 3	Searcy	AR	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	73938	12	2007		2696742.6		99842		530834			0			0	0	0	0	0	0	3	0	0	0	0		state	0.58					White County Health Unit - Searcy	LHD	1	5145
AR073		Augusta	AR	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	8625	1	2008		289953.1		30492		47932			0			0	0	0	0	0	0							state	1.67					Woodruff County Health Unit	LHD	1	5147
AR074		Dardanelle	AR	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	21905	7	2008		1449972.1		181094		301216			0			0	0	0	0	0	0	4				0		state	4.92					Yell County Health Unit - Dardanelle	LHD	1	5149
CA001	module 2	Oakland	CA	esri 2007	500000+	500000+	"1,000,000+"	"1,000,000+"	1 million +	county	1396452	1	2008	"$10,000,000+"	83130864	65848	21012860	20947011	19455711	48747185	29291474	10486385	393488	1000	1613066	292147	0	180039	0	404696	1	1204529	579936	487159	1	17	local	1.92					Alameda County Public Health Department	LHD	1	6001
CA002		Markleeville	CA	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	1262	6	2008	"$500,000-$999,999"	730837	0	21864	21864	253968	425968	172000	0	5000	5000	0	13500	2000	72500	0	185000	2				1	5	local	1.5					Alpine County Health and Human Services	LHD	1	6003
CA003	module 2	Sutter Creek	CA	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	39657	1	2008	"$1,000,000-$4,999,999"																	3						local						"Amador County, Health and Human Services Agency"	LHD	1	6005
CA005	module 1	Oroville	CA	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"200,000-499,999"	county	220904	6	2008																								local		1	4.47	"50,000+"	Butte County Department of Public Health	Butte County Department of Public Health	LHD	1	6007
CA006		San Andreas	CA	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	48342	6	2008	"$1,000,000-$4,999,999"	3909631	0	0	0	2329197	2790437	461240	0	0	8788	0	0	16220	1080	0	1093106	1	135936	62640	0	1	2.58	local	5.33					Calaveras County Public Health Department	LHD	1	6009
CA008	module 3	Martinez	CA	esri 2007	500000+	500000+	"1,000,000+"	"1,000,000+"	1 million +	county	1047327	1	2008	"$10,000,000+"	662000000																3	909283	172270	256256	1	12	local	13.08					Contra Costa Health Services	LHD	1	6013
CA009																																											Del Norte County Public Health	LHD	1	6015
CA010		Placerville	CA	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	185347	6	2008	"$10,000,000+"	37000000																						local	0.42					El Dorado County Health Department	LHD	1	6017
CA011	module 1	Fresno	CA	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	city/county	915824	6	2008	"$10,000,000+"	71541088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71541092	1				1		local	3.08	1	3.5	"50,000+"	Fresno County Department of Public Health	Fresno County Department of Community Health	LHD	1	6019
CA012		Willows	CA	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	28632	6	2008		4482434	15000	576550	561550	2698997	3708252	1009255	68102	0	0	0	0	21480	84055	0	23995	2	123469	87806	0	1	1.23	local	2.75					Glenn County Health Department	LHD	1	6021
CA013	module 2	Eureka	CA	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	132810	6	2008	"$10,000,000+"	20918636	0	591000	591000	12778242	17439491	4661249	22784	68307	943	153656	1606	182313	2264803	0	173293	1	481470	160973	0	1	2	local	6.25					Humboldt County Department of Health and Human Services	LHD	1	6023
CA015																																											Inyo County Health Department	LHD	1	6027
CA016	module 3	Bakersfield	CA	esri 2007	500000+	500000+	"500,000-999,999"	"500,000-999,999"	"500,000-999,999"	county	796111	6	2008	"$10,000,000+"	37251780	0	5843709	5843709	24420148	28668176	4248028	0	497895	0	595043	0	1339943	221032	0	85982	1	713000	202000	0	1	5	local	1					Kern County Health Department	LHD	1	6029
CA017																																											Kings County Health Department	LHD	1	6031
CA018	module 3	Lakeport	CA	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"50,000-74,999"	county	66564	6	2007	"$1,000,000-$4,999,999"	3090958	0	119778	119778	2852917	2904430	51513	0	17102	0	0	0	47950	1272	0	426	3				1	5.5	local	2.67					Lake County Department of Health Services	LHD	1	6033
CA019		Susanville	CA	esri 2007	<50000	25000-49999	"25,000-50,000"	"25,000-50,000"	"25,000-49,999"	county	36102	1	2008																		1						local						Lassen County Department of Health and Social Services	LHD	1	6035
CA045	module 3	Los Angeles	CA	esri 2007	500000+	500000+	"1,000,000+"	"1,000,000+"	1 million +	county	9483094	6	2007	"$10,000,000+"	505314432	390860	416799	25939	141976352	141976352	0	163917278	99260578	0	0	0	1181855	59426432	0	39135144	2	20109362	6997627	3436517	1	159.5	local	10.83					Los Angeles County Department of Health Services - Public Health	LHD	1	6037
CA022																																											Madera County Public Health	LHD	1	6039
CA023																																											Marin County Health and Human Services	LHD	1	6041
CA024		Mariposa	CA	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	18680	6	2008	"$1,000,000-$4,999,999"		0	250000	250000	550000	800000	250000	0	0	0	0	0	0	50000	0	0	3	200000	50000	0	1	1	local						Mariposa County Health Department	LHD	1	6043
CA025		Ukiah	CA	esri 2007	50000-499999	50000-99999	"50,000-99,999"	"50,000-99,999"	"75,000-100,000"	county	90385	6	2008	"$10,000,000+"	19646080	0	3003050	3003050	7869117	10994236	3125119	749648	1799999	0	79958	0	342201	1784806	0	0						2.34	local	1.42					Mendocino County Health and Human Serivces Agency	LHD	1	6045
CA026																																											Merced County Department of Public Health	LHD	1	6047
CA027	module 1	Alturas	CA	esri 2007	<50000	<25000	"<25,000"	"<10,000"	"<10,000"	county	9631	6	2008	"$1,000,000-$4,999,999"	2286131	0	0	0	708296	912400	204104	0	0	0	0	0	0	1303507	0	73549	3	107733	1646	0	1	1.54	local	2.5	1	8.96	"<50,000"	Modoc County Public Health Department	Modoc County Public Health Department	LHD	1	6049
CA028	module non-respondent	Mammoth Lakes	CA	esri 2007	<50000	<25000	"<25,000"	"10,000-24,999"	"10,000-24,999"	county	13376	1	2008	"$1,000,000-$4,999,999"	2756911																1	109655	60470	0	1	2	local	6.17					Mono County Health Department	LHD	1	6051
CA029																																											Monterey County Health Department	LHD	1	6053
CA030		Napa	CA	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	137087	6	2008	"$10,000,000+"	10565655	0	187839	187839	7588610	9927732	2339122	0	0	0	0	0	0	448699	0	1385	1	205700	161933	0	1	2.75	local	4.33					Napa County Health and Human Services Agency	LHD	1	6055
CA031	module 2	Grass Valley	CA	esri 2007	50000-499999	100000-499999	"100,000-249,999"	"100,000-249,999"	"100,000-199,999"	county	102193	6	2007	"$5,000,000-$9,999,999"	7635797	0	116612	116612	5570372	6792099	1221727	0	342739	0	22432	0	1013	360902	0	0	1	158000	156000	0	1	1.75	local	1.92					Nevada County Public Health Department	LHD	1	6057
CA032	module 3	Santa Ana	CA	esri 2007	500000+	500000+	"1,000,000+"	"1,000,000+"	1 million +	county	3081783	6	2008	"$10,000,000+"		5965462	120143320	114177855	306747753	306747753	0	54340048	45967714	64630	2460087	17688	8735017	26482173	0	2841645	3	2792711	1095150	352585	1	39.5	local	7.75					Orange County Health Care Agency/Public Health	LHD	1	6059
CA034	module 3	Auburn	CA	esri 2007	50000-499999	100000-499999	"250,000-499,999"	"250,000-499,999"	"200,000-499,999"	county	339691	6	2008	"$10,000,000+"	124341784	390741	4362591	3971850	53729132	109703869	55974737	0	3501801	237478	549691	224571	5761786	0	0	0	2	626115	52969	100000	1	3	local	11.5					Placer County Health and Human Services	LHD	1	6061
